Borough,4 Freedoms Party (UK EPP),An Independence from Europe,Animal Welfare Party,British National Party,Christian Peoples Alliance,Communities United Party,Conservative Party,English Democrats,Europeans Party,Green Party,Harmony Party,Labour Party,Liberal Democrats,National Health Action Party,National Liberal Party - True Liberalism,NO2EU,UK Independence Party (UKIP),Rejected Votes,Total (check)
Barking and Dagenham,777,595,309,1151,672,93,3728,248,263,1335,35,22369,594,226,100,90,12759,386,45730
Barnet,938,1071,961,464,792,237,32234,354,497,7362,71,28774,4418,970,153,141,14039,767,94243
Bexley,999,851,638,1184,706,88,17575,556,109,3035,38,14142,1592,870,84,116,25642,588,68813
Brent,1038,986,647,689,982,362,13277,377,512,5123,111,34451,7333,697,463,140,6414,1333,74935
Bromley,1034,821,901,625,891,91,30573,531,240,7590,72,14915,5420,1186,96,94,29386,694,95160
Camden,693,640,636,356,338,92,11343,156,272,8132,34,23294,5568,667,42,100,5337,543,58243
City of London,18,5,17,10,10,1,686,7,22,291,1,546,311,33,1,2,313,7,2281
City of Westminster,433,414,423,217,324,86,14191,130,245,3318,38,13119,2699,435,49,68,5680,518,42387
Croydon,1366,1359,989,1031,1448,184,26687,494,381,6829,90,32439,3768,744,192,126,19560,872,98559
Ealing,1636,1525,977,841,1180,533,19108,356,788,6997,103,43436,5476,894,685,138,10632,1326,96631
Enfield,807,947,666,594,833,185,17432,327,325,5115,64,32091,2309,826,136,156,14271,842,77926
Greenwich,1158,844,650,788,814,109,10236,361,344,5482,55,25788,2578,852,110,113,13341,579,64202
Hackney,528,589,564,311,651,190,7367,156,283,11608,70,35491,3707,695,66,166,3220,739,66401
Hammersmith and Fulham,649,518,516,272,413,77,14473,168,284,4451,36,15520,3020,554,51,63,5736,466,47267
Haringey,512,537,598,287,488,104,7159,155,291,9669,47,30757,7323,778,103,178,4515,684,64185
Harrow,1097,1376,794,640,758,336,22388,326,391,3859,97,25444,2692,617,689,122,10036,852,72514
Havering,1468,1203,715,1355,873,92,19590,881,186,3501,82,12331,1529,654,83,125,34560,850,80078
Hillingdon,917,990,776,932,687,218,20022,501,362,3695,68,21198,2456,578,463,144,19746,779,74532
Hounslow,972,955,652,659,593,500,14734,310,446,4425,80,27747,2600,598,370,122,11443,675,67881
Islington,639,467,582,349,377,78,6621,155,228,9003,37,27328,5136,686,53,119,5652,474,57984
Kensington and Chelsea,269,215,347,156,259,53,12344,118,175,2389,21,6419,1948,242,24,36,4319,354,29688
Kingston upon Thames,439,474,505,311,586,86,14682,266,203,4671,40,8094,8646,488,193,67,9570,342,49663
Lambeth,690,643,724,416,864,139,10449,208,348,11140,58,34471,6432,844,58,115,5767,596,73962
Lewisham,645,681,706,527,1116,89,8161,336,392,10228,109,32507,4252,2137,106,147,8720,612,71471
Merton,796,659,583,453,721,107,14793,242,356,4532,45,21832,3908,514,245,97,9498,604,59985
Newham,889,1005,502,729,1449,1124,12398,249,432,3449,67,43582,1423,557,335,159,6216,1177,75742
Redbridge,1010,1078,679,662,955,492,19458,397,332,4570,49,33528,3504,788,1077,139,12965,919,82602
Richmond upon Thames,605,476,687,254,359,62,21822,241,222,7151,37,8276,12279,550,43,60,9714,401,63239
Southwark,833,714,633,561,898,95,9152,283,329,9710,53,31591,9170,865,74,119,8035,685,73800
Sutton,1003,1014,580,612,609,66,14810,477,203,3668,46,7958,12104,493,157,68,16345,537,60750
Tower Hamlets,1508,1340,623,835,482,542,9647,284,546,8679,104,43463,3379,659,105,154,7861,3327,83538
Waltham Forest,890,951,667,583,869,286,9442,269,285,7078,72,28205,4416,743,254,233,10677,898,66818
Wandsworth,758,732,845,392,705,154,29057,223,420,8334,55,25853,6023,813,76,87,9164,781,84472
Total,28014,26675,21092,19246,23702,6951,495639,10142,10712,196419,1985,806959,148013,23253,6736,3804,371133,25207,2225682
